City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
129,Laguna,US,84.06,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
137,Matara,LK,77.63,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
142,Ndioum,SN,89.49,clear sky,16.5129,-14.6471,l'hôtel samassa
144,Lorengau,PG,83.23,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
147,Kandiari,PK,88.05,clear sky,26.9156,68.5216,Birohi Tailors
151,Saint-Georges,GD,80.28,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
153,Lompoc,US,84.34,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
161,Abu Zabad,SD,85.86,overcast clouds,12.35,29.25,حامد محمد نور
172,Galle,LK,79.0,broken clouds,6.0367,80.217,Amangalla
174,Praia,CV,75.74,clear sky,14.9215,-23.5087,LT Aparthotel
175,Guane,CU,82.63,few clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
180,Vila Velha,BR,78.75,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
184,Le Vauclin,MQ,77.85,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
187,Tres Lagoas,BR,80.8,overcast clouds,-20.7511,-51.6783,Druds Express Hotel
191,Belmonte,BR,77.43,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
213,Samarai,PG,84.49,broken clouds,-10.6167,150.6667,Nuli Sapi
220,Ca Mau,VN,78.71,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
221,Kirakira,SB,84.61,broken clouds,-10.4544,161.9205,SanBiz Lodge
223,Pathein,MM,78.49,few clouds,16.7833,94.7333,Pathein Hotel
224,Poum,NC,75.87,overcast clouds,-20.2333,164.0167,
225,Mumford,GH,80.64,light rain,5.2618,-0.759,Spanish Villa
233,Cayenne,GF,79.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
239,Nizwa,OM,78.04,clear sky,22.9333,57.5333,Orient Apartments
240,Navirai,BR,75.74,few clouds,-23.065,-54.1906,Dubai Hotel - Também sua casa!
241,Paka,MY,75.13,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
245,San Patricio,US,82.26,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
248,Beira,MZ,75.47,light rain,-19.8436,34.8389,Beira Terrace Hotel
253,Pulivendla,IN,85.53,clear sky,14.4167,78.2333,Kothabalaji
254,Sur,OM,85.39,clear sky,22.5667,59.5289,Sur Plaza Hotel
256,Buala,SB,84.25,light rain,-8.145,159.5921,Maringe Lagoon Lodge
257,Ewa Beach,US,81.99,overcast clouds,21.3156,-158.0072,Base Lodging
263,Angoche,MZ,76.48,light rain,-16.2325,39.9086,Guest House HESADA
269,Luwuk,ID,80.02,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
271,Sharjah,AE,87.78,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
273,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
279,Hobyo,SO,82.67,broken clouds,5.3505,48.5268,Iftin hotel hobyo
283,Omboue,GA,77.95,overcast clouds,-1.5746,9.2618,Hotel Olako
284,Beloha,MG,75.04,overcast clouds,-25.1667,45.05,
286,Malpe,IN,79.9,overcast clouds,13.35,74.7167,Hotel Sri Krishna Residency
290,Sao Filipe,CV,75.47,clear sky,14.8961,-24.4956,Hotel Xaguate
301,Meulaboh,ID,75.36,overcast clouds,4.1363,96.1285,Kost Pria
302,Bengkulu,ID,76.44,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
304,Manvi,IN,86.9,broken clouds,15.9833,77.05,ರಾಮಣ್ಣ ನಾಯಕ
313,Atuona,PF,78.49,light rain,-9.8,-139.0333,Villa Enata
314,Alofi,NU,82.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
317,Lahij,YE,78.89,overcast clouds,13.1667,44.5833,
320,Virginia Beach,US,80.65,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
322,Bonthe,SL,80.74,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
325,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
328,Quelimane,MZ,78.75,clear sky,-17.8786,36.8883,Hotel Flamingo
331,Mana,GF,78.78,overcast clouds,5.6592,-53.7767,LE SAMANA
