City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
236,Port Elizabeth,ZA,-33.918,25.5701,57.49,84,0,9.22,clear sky
237,Swan Hill,AU,-35.3378,143.5544,61.81,64,100,9.69,overcast clouds
238,Mweka,CD,-4.85,21.5667,68.88,98,99,0.47,overcast clouds
239,Nizwa,OM,22.9333,57.5333,78.04,38,6,1.54,clear sky
240,Navirai,BR,-23.065,-54.1906,75.74,67,22,6.51,few clouds
241,Paka,MY,4.6374,103.4368,75.13,100,98,0.0,overcast clouds
242,Opuwo,NA,-18.0607,13.84,66.18,43,2,1.36,clear sky
243,Fos-Sur-Mer,FR,43.4377,4.9446,53.71,87,0,3.44,clear sky
244,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,82,36,6.26,scattered clouds
245,San Patricio,US,28.017,-97.5169,82.26,81,97,25.61,overcast clouds
246,Portsoy,GB,57.6814,-2.6896,45.18,88,100,5.01,overcast clouds
247,Stargard Szczecinski,PL,53.3367,15.0499,43.0,94,54,3.89,broken clouds
248,Beira,MZ,-19.8436,34.8389,75.47,85,13,4.23,light rain
249,Durban,ZA,-29.8579,31.0292,63.52,70,34,3.0,scattered clouds
250,Qasigiannguit,GL,68.8193,-51.1922,24.08,95,100,5.53,overcast clouds
251,Luderitz,NA,-26.6481,15.1594,60.26,47,0,12.88,clear sky
252,Challapata,BO,-18.9,-66.7667,50.52,21,16,2.39,few clouds
253,Pulivendla,IN,14.4167,78.2333,85.53,42,9,6.08,clear sky
254,Sur,OM,22.5667,59.5289,85.39,43,1,12.15,clear sky
255,Butembo,CD,0.15,29.2833,57.7,99,99,2.66,light rain
256,Buala,SB,-8.145,159.5921,84.25,72,68,4.0,light rain
257,Ewa Beach,US,21.3156,-158.0072,81.99,60,100,17.0,overcast clouds
258,Whyalla,AU,-33.0333,137.5833,62.49,88,100,6.91,moderate rain
259,Ulaanbaatar,MN,47.9077,106.8832,5.13,78,0,2.24,clear sky
260,Casper,US,42.8666,-106.3131,53.82,38,27,3.0,scattered clouds
261,Beringovskiy,RU,63.05,179.3167,30.16,97,100,22.57,snow
262,Yablonovo,RU,50.8523,37.3574,51.37,64,46,7.05,scattered clouds
263,Angoche,MZ,-16.2325,39.9086,76.48,88,100,2.59,light rain
264,Jumla,NP,29.2747,82.1838,48.06,43,0,4.72,clear sky
265,Calvia,ES,39.5657,2.5062,55.96,66,4,5.82,clear sky
266,Channel-Port Aux Basques,CA,47.5702,-59.1367,45.32,78,15,8.39,few clouds
267,Kenai,US,60.5544,-151.2583,50.02,66,100,9.22,overcast clouds
268,Aklavik,CA,68.2191,-135.0107,33.3,100,100,5.03,overcast clouds
269,Luwuk,ID,-0.9516,122.7875,80.02,84,82,2.39,broken clouds
270,Sioni,GE,41.9895,45.0239,53.96,77,43,1.19,scattered clouds
271,Sharjah,AE,25.3573,55.4033,87.78,57,0,4.61,clear sky
272,Camacha,PT,33.0833,-16.3333,58.42,77,40,9.22,scattered clouds
273,Padang,ID,-0.9492,100.3543,75.25,89,100,4.43,overcast clouds
274,Forbes,AU,-33.3833,148.0167,63.91,64,100,9.19,overcast clouds
275,Gol,NO,60.7014,8.9457,45.57,97,77,2.33,broken clouds
276,Westport,US,41.1415,-73.3579,58.3,49,100,6.91,overcast clouds
277,Nouadhibou,MR,20.931,-17.0347,66.18,88,1,11.5,clear sky
278,Kaura Namoda,NG,12.5898,6.5779,92.5,19,100,6.89,overcast clouds
279,Hobyo,SO,5.3505,48.5268,82.67,73,59,8.59,broken clouds
280,Datong,CN,40.0936,113.2914,44.46,14,3,13.89,clear sky
281,Nome,US,64.5011,-165.4064,38.16,75,100,3.44,overcast clouds
282,Dudinka,RU,69.4058,86.1778,-0.38,96,100,7.11,overcast clouds
